UserID,priority
1663,2
1671,2
1684,2
1686,2
1687,2
1689,2
1695,2
1698,2
1703,2
1715,2
1720,2
1725,2
1741,2
1745,2
1749,2
1759,2
1766,2
1767,2
1773,2
1776,2
1786,2
1791,2
1801,2
1806,2
1807,2
1810,2
1812,2
1813,2
1827,2
1848,2
1852,2
1859,2
1868,2
1881,2
1891,2
1897,2
1899,2
1907,2
1910,2
1917,2
1921,2
1922,2
1923,2
1933,2
1940,2
1941,2
1948,2
1953,2
1954,2
1970,2
1982,2
1992,2
1997,2
1999,2
2000,2
2001,2
2002,2
2003,2
2027,2
2028,2
2040,2
2049,2
2050,2
2051,2
2053,2
2056,2
2059,2
2067,2
2073,2
2082,2
2088,2
2091,2
2100,2
2105,2
2123,2
2132,2
2139,2
2144,2
2159,2
2160,2
2181,2
2182,2
2184,2
2185,2
2200,2
2204,2
2208,2
2211,2
2240,2
2241,2
2242,2
2251,2
2252,2
2255,2
2273,2
2274,2
2280,2
2281,2
2283,2
2285,2
2290,2
2297,2
2305,2
2308,2
2312,2
2319,2
2320,2
2331,2
2341,2
2344,2
2355,2
2356,2
2357,2
2360,2
2361,2
2363,2
2365,2
2366,2
2372,2
2378,2
2389,2
2390,2
2391,2
2398,2
2406,2
2413,2
2428,2
2471,2
2482,2
2488,2
2493,2
2499,2
2500,2
2515,2
2555,2
2562,2
2564,2
2584,2
2612,2
2619,2
2629,2
2631,2
2654,2
2657,2
2673,2
2676,2
2714,2
2736,2
2744,2
2745,2
2754,2
2755,2
2779,2
2798,2
2810,2
2821,2
2842,2
2861,2
2867,2
2878,2
2890,2
2909,2
2914,2
2917,2
2918,2
2935,2
2970,2
2990,2
3002,2
3010,2
3012,2
3018,2
3021,2
3039,2
3073,2
3074,2
3087,2
3089,2
3092,2
3100,2
3120,2
3123,2
3128,2
3138,2
3157,2
3165,2
3166,2
3167,2
3175,2
3180,2
3206,2
3207,2
3210,2
3222,2
3229,2
3231,2
3273,2
3279,2
3287,2
3301,2
3315,2
3325,2
3328,2
3332,2
3336,2
3337,2
3340,2
3359,2
3364,2
3371,2
3380,2
3382,2
3384,2
3386,2
3401,2
3425,2
3426,2
3431,2
3440,2
3446,2
3455,2
3465,2
3471,2
3480,2
3485,2
3495,2
3528,2
3538,2
3539,2
3541,2
3545,2
3559,2
3563,2
3571,2
3574,2
3578,2
3579,2
3580,2
3624,2
3631,2
3643,2
3660,2
3661,2
3667,2
3679,2
3682,2
3684,2
3691,2
3695,2
3700,2
3708,2
3711,2
3716,2
3724,2
3736,2
3738,2
3742,2
3756,2
3758,2
3762,2
3769,2
3771,2
3779,2
3784,2
3806,2
3813,2
3817,2
3822,2
3824,2
3827,2
3842,2
3844,2
3870,2
3888,2
3895,2
3914,2
3925,2
3933,2
3935,2
3936,2
3944,2
3955,2
3960,2
3961,2
3964,2
3978,2
3988,2
3992,2
3996,2
3999,2
4007,2
4019,2
4033,2
4043,2
4051,2
4053,2
4067,2
4072,2
4082,2
4088,2
4131,2
4141,2
4153,2
4161,2
4165,2
4167,2
4177,2
4196,2
4198,2
4202,2
4206,2
4210,2
4216,2
4226,2
4231,2
4248,2
4268,2
4279,2
4283,2
4287,2
4290,2
4302,2
4368,2
4370,2
4379,2
4383,2
4390,2
4394,2
4397,2
4398,2
4406,2
4411,2
4413,2
4420,2
4427,2
4435,2
4445,2
4473,2
4478,2
4496,2
4500,2
4501,2
4517,2
4520,2
4522,2
4534,2
4535,2
4542,2
4546,2
4559,2
4578,2
4585,2
4587,2
4589,2
4590,2
4594,2
4595,2
4597,2
4602,2
4616,2
4617,2
4620,2
4626,2
4627,2
4631,2
4632,2
4639,2
4645,2
4657,2
4663,2
4669,2
4670,2
4677,2
4678,2
4679,2
4683,2
4686,2
4687,2
4697,2
4698,2
4699,2
4703,2
4705,2
4716,2
4723,2
4730,2
4735,2
4738,2
4743,2
4749,2
4753,2
4756,2
4757,2
4770,2
4775,2
4779,2
4781,2
4785,2
4792,2
4793,2
4804,2
4807,2
4819,2
4835,2
4837,2
4840,2
4843,2
4848,2
4855,2
4858,2
4860,2
4867,2
4874,2
4879,2
4883,2
4893,2
4896,2
4897,2
4902,2
4904,2
4913,2
4914,2
4916,2
4923,2
4926,2
4929,2
4930,2
4936,2
4937,2
4941,2
4943,2
4947,2
4952,2
4954,2
4956,2
4958,2
4969,2
4972,2
4977,2
4982,2
4985,2
4989,2
4994,2
5007,2
5017,2
5048,2
5103,2
5144,2
5146,2
5164,2
5166,2
5169,2
5177,2
5189,2
5190,2
5200,2
5209,2
5214,2
5221,2
5222,2
5230,2
5236,2
5242,2
5243,2
5245,2
5247,2
5257,2
5269,2
5276,2
5280,2
5284,2
5303,2
5314,2
5324,2
5337,2
5353,2
5365,2
5379,2
5384,2
5388,2
5390,2
5411,2
5427,2
5452,2
5461,2
5479,2
5496,2
5504,2
5524,2
5533,2
5556,2
5575,2
5576,2
5604,2
5607,2
5667,2
5676,2
5686,2
5696,2
5697,2
5714,2
5717,2
5735,2
5737,2
5739,2
5749,2
5764,2
5780,2
5798,2
5808,2
5812,2
5831,2
5843,2
5844,2
5845,2
5847,2
5862,2
5917,2
5947,2
5970,2
5975,2
5982,2
5996,2
6027,2
6031,2
6038,2
6040,2
6046,2
6047,2
6056,2
6078,2
6089,2
6112,2
6120,2
6135,2
6139,2
6140,2
6150,2
6155,2
6179,2
6182,2
6186,2
6193,2
6198,2
6199,2
6207,2
6220,2
6226,2
6247,2
6250,2
6278,2
6308,2
6309,2
6311,2
6312,2
6335,2
6340,2
6398,2
6425,2
6437,2
6439,2
6453,2
6458,2
6461,2
6489,2
6503,2
6507,2
6547,2
6560,2
6568,2
6571,2
6572,2
6594,2
6598,2
6613,2
6623,2
6704,2
6710,2
6714,2
6725,2
6752,2
6756,2
6763,2
6766,2
6797,2
6807,2
6827,2
6860,2
6888,2
6890,2
6892,2
6923,2
6959,2
6994,2
7015,2
7038,2
7086,2
7099,2
7122,2
7126,2
7140,2
7164,2
7179,2
7233,2
7242,2
7250,2
7275,2
7309,2
7319,2
7365,2
7379,2
7466,2
7468,2
7487,2
7488,2
7497,2
7525,2
7575,2
7578,2
7606,2
7638,2
7653,2
7778,2
7818,2
7829,2
7867,2
7941,2
7990,2
8009,2
8101,2
8159,2
8170,2
8204,2
8238,2
8266,2
8295,2
8300,2
8301,2
8337,2
8343,2
8345,2
8363,2
8375,2
8384,2
8404,2
8444,2
8445,2
8447,2
8452,2
8458,2
8462,2
8464,2
8466,2
8469,2
8470,2
8489,2
8490,2
8491,2
8588,2
8606,2
8607,2
8629,2
8666,2
8668,2
8670,2
8679,2
8680,2
8695,2
8696,2
8704,2
